Gymnasieprogram_kod,Gymnasieprogram,Gymnasieprogramstyp
NBMASVA,"Naturbruksprogrammet; Särskild variant, maskinmekaniker, anställd lärling",Yrkesprogram
NBMASVA0I,"Naturbruksprogrammet; Särskild variant, maskinmekaniker, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBMASVA0N,"Naturbruksprogrammet; Särskild variant, maskinmekaniker, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBMASVL,"Naturbruksprogrammet; Särskild variant, maskinmekaniker, lärling",Yrkesprogram
NBMASVL0I,"Naturbruksprogrammet; Särskild variant, maskinmekaniker, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBMASVL0N,"Naturbruksprogrammet; Särskild variant, maskinmekaniker, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBNARV,"Naturbruksprogrammet; Särskild variant, närodlat",Yrkesprogram
NBNARV00I,"Naturbruksprogrammet; Särskild variant, närodlat (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBNARV00N,"Naturbruksprogrammet; Särskild variant, närodlat (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBNARVA,"Naturbruksprogrammet; Särskild variant, närodlat, anställd lärling",Yrkesprogram
NBNARVA0I,"Naturbruksprogrammet; Särskild variant, närodlat, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBNARVA0N,"Naturbruksprogrammet; Särskild variant, närodlat, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBNARVL,"Naturbruksprogrammet; Särskild variant, närodlat, lärling",Yrkesprogram
NBNARVL0I,"Naturbruksprogrammet; Särskild variant, närodlat, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBNARVL0N,"Naturbruksprogrammet; Särskild variant, närodlat, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBRIDV0R,"Naturbruksprogrammet; Särskild variant, ridlärare(riksrekryterande)",Yrkesprogram
NBRIDV0RI,"Naturbruksprogrammet; Särskild variant, ridlärare(riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBRIDV0RN,"Naturbruksprogrammet; Särskild variant, ridlärare(riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBRIDVAR,"Naturbruksprogrammet; Särskild variant, ridlärare, anställd lärling (riksrekryterande)",Yrkesprogram
NBRIDVARI,"Naturbruksprogrammet; Särskild variant, ridlärare, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBRIDVARN,"Naturbruksprogrammet; Särskild variant, ridlärare, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBRIDVLR,"Naturbruksprogrammet; Särskild variant, ridlärare, lärling (riksrekryterande)",Yrkesprogram
NBRIDVLRI,"Naturbruksprogrammet; Särskild variant, ridlärare, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBRIDVLRN,"Naturbruksprogrammet; Särskild variant, ridlärare, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBSKO,"Naturbruksprogrammet, Skog",Yrkesprogram
NBSKO000I,Naturbruksprogrammet; Skog (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
NBSKO000N,Naturbruksprogrammet; Skog (Nationellt godkänd idrottsutbildning),Yrkesprogram
NBSKO0A,"Naturbruksprogrammet; Skog, anställd lärling",Yrkesprogram
NBSKO0A0I,"Naturbruksprogrammet; Skog, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBSKO0A0N,"Naturbruksprogrammet; Skog, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBSKO0L,"Naturbruksprogrammet, Skog, lärling",Yrkesprogram
NBSKO0L0I,"Naturbruksprogrammet; Skog, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBSKO0L0N,"Naturbruksprogrammet; Skog, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBSKOV,"Naturbruksprogrammet; Skog, särskild variant",Yrkesprogram
NBSKOV00I,"Naturbruksprogrammet; Skog, särskild variant (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBSKOV00N,"Naturbruksprogrammet; Skog, särskild variant (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBSKOV0R,"Naturbruksprogrammet; Skog, särskild variant (riksrekryterande)",Yrkesprogram
NBSKOV0RI,"Naturbruksprogrammet; Skog, särskild variant (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBSKOV0RN,"Naturbruksprogrammet; Skog, särskild variant (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBSKOVA,"Naturbruksprogrammet; Skog, särskild variant, anställd lärling",Yrkesprogram
NBSKOVA0I,"Naturbruksprogrammet; Skog, särskild variant, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBSKOVA0N,"Naturbruksprogrammet; Skog, särskild variant, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBSKOVAR,"Naturbruksprogrammet; Skog, särskild variant, anställd lärling (riksrekryterande)",Yrkesprogram
NBSKOVARI,"Naturbruksprogrammet; Skog, särskild variant, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBSKOVARN,"Naturbruksprogrammet; Skog, särskild variant, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBSKOVL,"Naturbruksprogrammet; Skog, särskild variant, lärling (riksrekryterande)",Yrkesprogram
NBSKOVL0I,"Naturbruksprogrammet; Skog, särskild variant, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBSKOVL0N,"Naturbruksprogrammet; Skog, särskild variant, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBSKOVLR,"Naturbruksprogrammet; Skog, särskild variant, lärling (riksrekryterande)",Yrkesprogram
NBSKOVLRI,"Naturbruksprogrammet; Skog, särskild variant, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBSKOVLRN,"Naturbruksprogrammet; Skog, särskild variant, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBTRA,"Naturbruksprogrammet, Trädgård",Yrkesprogram
NBTRA000I,Naturbruksprogrammet; Trädgård (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
NBTRA000N,Naturbruksprogrammet; Trädgård (Nationellt godkänd idrottsutbildning),Yrkesprogram
NBTRA00R,Naturbruksprogrammet; Trädgård (riksrekryterande),Yrkesprogram
NBTRA00RI,Naturbruksprogrammet; Trädgård (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
NBTRA00RN,Naturbruksprogrammet; Trädgård (riksrekryterande) (Nationellt godkänd idrottsutbildning),Yrkesprogram
NBTRA0A,"Naturbruksprogrammet; Trädgård, anställd lärling",Yrkesprogram
NBTRA0A0I,"Naturbruksprogrammet; Trädgård, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBTRA0A0N,"Naturbruksprogrammet; Trädgård, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBTRA0AR,"Naturbruksprogrammet; Trädgård, anställd lärling (riksrekryterande)",Yrkesprogram
NBTRA0ARI,"Naturbruksprogrammet; Trädgård, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBTRA0ARN,"Naturbruksprogrammet; Trädgård, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBTRA0L,"Naturbruksprogrammet, Trädgård, lärling",Yrkesprogram
NBTRA0L0I,"Naturbruksprogrammet; Trädgård, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBTRA0L0N,"Naturbruksprogrammet; Trädgård, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBTRA0LR,"Naturbruksprogrammet; Trädgård, lärling (riksrekryterande)",Yrkesprogram
NBTRA0LRI,"Naturbruksprogrammet; Trädgård, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBTRA0LRN,"Naturbruksprogrammet; Trädgård, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBTRAV0R,"Naturbruksprogrammet; Trädgård, särskild variant (riksrekryterande)",Yrkesprogram
NBTRAV0RI,"Naturbruksprogrammet; Trädgård, särskild variant (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBTRAV0RN,"Naturbruksprogrammet; Trädgård, särskild variant (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBTRAVAR,"Naturbruksprogrammet; Trädgård, särskild variant, anställd lärling (riksrekryterande)",Yrkesprogram
NBTRAVARI,"Naturbruksprogrammet; Trädgård, särskild variant, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBTRAVARN,"Naturbruksprogrammet; Trädgård, särskild variant, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBTRAVLR,"Naturbruksprogrammet; Trädgård, särskild variant, lärling (riksrekryterande)",Yrkesprogram
NBTRAVLRI,"Naturbruksprogrammet; Trädgård, särskild variant, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBTRAVLRN,"Naturbruksprogrammet; Trädgård, särskild variant, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBVAFV0R,"Naturbruksprogrammet, Särskild variant, vattenbruk - fiskodling (riksrekryterande)",Yrkesprogram
NBVAFV0RI,"Naturbruksprogrammet; Särskild variant, vattenbruk - fiskodling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBVAFV0RN,"Naturbruksprogrammet; Särskild variant, vattenbruk - fiskodling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBVAFVAR,"Naturbruksprogrammet; Särskild variant, vattenbruk - fiskodling, anställd lärling (riksrekryterande)",Yrkesprogram
NBVAFVARI,"Naturbruksprogrammet; Särskild variant, vattenbruk - fiskodling, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBVAFVARN,"Naturbruksprogrammet; Särskild variant, vattenbruk - fiskodling, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBVAFVLR,"Naturbruksprogrammet, Särskild variant, vattenbruk - fiskodling, lärling (riksrekryterande)",Yrkesprogram
NBVAFVLRI,"Naturbruksprogrammet; Särskild variant, vattenbruk - fiskodling, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBVAFVLRN,"Naturbruksprogrammet; Särskild variant, vattenbruk - fiskodling, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBVAMV,"Naturbruksprogrammet, Särskild variant, vattenbruk - marinbiologi",Yrkesprogram
NBVAMV00I,"Naturbruksprogrammet; Särskild variant, vattenbruk - marinbiologi (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBVAMV0N,"Naturbruksprogrammet; Särskild variant, vattenbruk - marinbiologi",Yrkesprogram
NBVAMVA,"Naturbruksprogrammet; Särskild variant, vattenbruk - marinbiologi, anställd lärling",Yrkesprogram
NBVAMVA0I,"Naturbruksprogrammet; Särskild variant, vattenbruk - marinbiologi, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBVAMVA0N,"Naturbruksprogrammet; Särskild variant, vattenbruk - marinbiologi, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBVAMVL,"Naturbruksprogrammet, Särskild variant, vattenbruk - marinbiologi, lärling",Yrkesprogram
NBVAMVL0I,"Naturbruksprogrammet; Särskild variant, vattenbruk - marinbiologi, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBVAMVL0N,"Naturbruksprogrammet; Särskild variant, vattenbruk - marinbiologi, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBVATV0R,"Naturbruksprogrammet, Särskild variant, vattenbruk (riksrekryterande)",Yrkesprogram
NBVATV0RI,"Naturbruksprogrammet; Särskild variant, vattenbruk (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBVATV0RN,"Naturbruksprogrammet; Särskild variant, vattenbruk (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBVATVAR,"Naturbruksprogrammet; Särskild variant, vattenbruk, anställd lärling (riksrekryterande)",Yrkesprogram
NBVATVARI,"Naturbruksprogrammet; Särskild variant, vattenbruk, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBVATVARN,"Naturbruksprogrammet; Särskild variant, vattenbruk, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBVATVLR,"Naturbruksprogrammet, Särskild variant, vattenbruk, lärling (riksrekryterande)",Yrkesprogram
NBVATVLRI,"Naturbruksprogrammet; Särskild variant, vattenbruk, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBVATVLRN,"Naturbruksprogrammet; Särskild variant, vattenbruk, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBYRKV0R,"Naturbruksprogrammet, Särskild variant, yrkesfiske i sötvatten (riksrekryterande)",Yrkesprogram
NBYRKV0RI,"Naturbruksprogrammet; Särskild variant, yrkesfiske i sötvatten (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBYRKV0RN,"Naturbruksprogrammet; Särskild variant, yrkesfiske i sötvatten (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBYRKVAR,"Naturbruksprogrammet; Särskild variant, yrkesfiske i sötvatten, anställd lärling (riksrekryterande)",Yrkesprogram
NBYRKVARI,"Naturbruksprogrammet; Särskild variant, yrkesfiske i sötvatten, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBYRKVARN,"Naturbruksprogrammet; Särskild variant, yrkesfiske i sötvatten, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBYRKVLR,"Naturbruksprogrammet, Särskild variant, yrkesfiske i sötvatten, lärling (riksrekryterande)",Yrkesprogram
NBYRKVLRI,"Naturbruksprogrammet; Särskild variant, yrkesfiske i sötvatten, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBYRKVLRN,"Naturbruksprogrammet; Särskild variant, yrkesfiske i sötvatten, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
RL,Restaurang- och livsmedelsprogrammet,Yrkesprogram
RL000000I,Restaurang- och livsmedelsprogrammet (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
RL000000N,Restaurang- och livsmedelsprogrammet (Nationellt godkänd idrottsutbildning),Yrkesprogram
RLBAG,"Restaurang- och livsmedelsprogrammet, Bageri och konditori",Yrkesprogram
RLBAG000I,Restaurang- och livsmedelsprogrammet; Bageri och konditori (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
RLBAG000N,Restaurang- och livsmedelsprogrammet; Bageri och konditori (Nationellt godkänd idrottsutbildning),Yrkesprogram
RLBAG0A,"Restaurang- och livsmedelsprogrammet; Bageri och konditori, anställd lärling",Yrkesprogram
RLBAG0A0I,"Restaurang- och livsmedelsprogrammet; Bageri och konditori, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
RLBAG0A0N,"Restaurang- och livsmedelsprogrammet; Bageri och konditori, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
RLBAG0L,"Restaurang- och livsmedelsprogrammet, Bageri och konditori, lärling",Yrkesprogram
RLBAG0L0I,"Restaurang- och livsmedelsprogrammet; Bageri och konditori, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
RLBAG0L0N,"Restaurang- och livsmedelsprogrammet; Bageri och konditori, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
RLFAR,"Restaurang- och livsmedelsprogrammet, Färskvaror, delikatesser och catering",Yrkesprogram
RLFAR000I,"Restaurang- och livsmedelsprogrammet; Färskvaror, delikatesser och catering (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
RLFAR000N,"Restaurang- och livsmedelsprogrammet; Färskvaror, delikatesser och catering (Nationellt godkänd idrottsutbildning)",Yrkesprogram
RLFAR00R,"Restaurang- och livsmedelsprogrammet, Färskvaror, delikatesser och catering (riksrekryterande)",Yrkesprogram
RLFAR00RI,"Restaurang- och livsmedelsprogrammet; Färskvaror, delikatesser och catering (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
RLFAR00RN,"Restaurang- och livsmedelsprogrammet; Färskvaror, delikatesser och catering (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
RLFAR0A,"Restaurang- och livsmedelsprogrammet; Färskvaror, delikatesser och catering, anställd lärling",Yrkesprogram
RLFAR0A0I,"Restaurang- och livsmedelsprogrammet; Färskvaror, delikatesser och catering, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
RLFAR0A0N,"Restaurang- och livsmedelsprogrammet; Färskvaror, delikatesser och catering, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
RLFAR0AR,"Restaurang- och livsmedelsprogrammet; Färskvaror, delikatesser och catering, anställd lärling (riksrekryterande)",Yrkesprogram
